Product Name,Price (PKR),Price (USD),Product Link,Image URL
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51eq6r0E-zL._AC_UY218_.jpg
"Herschel Supply Co. Nova Backpack, Black, One Size",N/A,Sponsored,/sspa/click?ie=UTF8&spc=MTo2MzgzMjk3NDY4NTE5NzAzOjE3MjcyNTMyMzM6c3BfYXRmOjMwMDM3OTY4ODAyOTMwMjo6MDo6&url=%2FHerschel-Supply-NovaTM-Backpack-Black%2Fdp%2FB0C3B2TWF8%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd%26dib%3DeyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE%26dib_tag%3Dse%26keywords%3Dtravel%2Bbackpack%26pd_rd_r%3De82b5c2a-0af3-444a-b19b-0e0fccce123f%26pd_rd_w%3D8BMah%26pd_rd_wg%3DQSUHD%26pf_rd_p%3D1faf5a75-f10d-481a-9299-d0fe2e7649bd%26pf_rd_r%3DG1X99QSCDB5MC6WENGRX%26qid%3D1727253233%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A
N/A,N/A,Delivery,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/91YiNSqY8CL._AC_UY218_.jpg
"Briggs & Riley @Work Medium Backpack, Black",N/A,Sponsored,/sspa/click?ie=UTF8&spc=MTo2MzgzMjk3NDY4NTE5NzAzOjE3MjcyNTMyMzM6c3BfYXRmOjIwMDEzMTYxOTg0OTc5ODo6MDo6&url=%2FBriggs-Riley-Medium-Backpack-Black%2Fdp%2FB07CNXHN9L%2Fref%3Dsr_1_2_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd%26dib%3DeyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE%26dib_tag%3Dse%26keywords%3Dtravel%2Bbackpack%26pd_rd_r%3De82b5c2a-0af3-444a-b19b-0e0fccce123f%26pd_rd_w%3D8BMah%26pd_rd_wg%3DQSUHD%26pf_rd_p%3D1faf5a75-f10d-481a-9299-d0fe2e7649bd%26pf_rd_r%3DG1X99QSCDB5MC6WENGRX%26qid%3D1727253233%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A
N/A,N/A,Click to see price,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,Amazon's Choice: Overall Pick,N/A,https://m.media-amazon.com/images/I/61RclLQJfgL._AC_UY218_.jpg
"Taygeer Travel Laptop Backpack for Men Women, Airplane Approved Travel Backpack Suitcase with Usb Charging Port, Lightweight College 35l Luggage Bag 15.6inch Laptop Backpack Gifts for Business,Black",N/A,"Taygeer Travel Laptop Backpack for Men Women, Airplane Approved Travel Backpack Suitcase with Usb Charging Port, Lightweight College 35l Luggage Bag 15.6inch Laptop Backpack Gifts for Business,Black",/Taygeer-Backpack-Airplane-Approved-Lightweight/dp/B0CR9JFD7S/ref=sr_1_3?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-3,N/A
N/A,N/A,22.66,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/71zgwmiHGDL._AC_UY218_.jpg
"MATEIN Carry on Backpack, Extra Large Travel Backpack Expandable Airplane Approved Weekender Bag for Men and Women, Water Resistant Lightweight Daypack for Flight 40L, Black",N/A,"MATEIN Carry on Backpack, Extra Large Travel Backpack Expandable Airplane Approved Weekender Bag for Men and Women, Water Resistant Lightweight Daypack for Flight 40L, Black",/Backpack-Expandable-Weekender-Resistant-Lightweight/dp/B07P1SFHK3/ref=sr_1_4?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-4,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,1 sustainability feature,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/816eG81cCSL._AC_UY218_.jpg
"YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpacks Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",N/A,"YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpacks Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",/Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_5?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-5,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,Delivery,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/815WusBCkxL._AC_UY218_.jpg
