Product Name,Price,Discount,Rating (%),Image URL
Mini Portable Bluetooth & Rechargeable Speaker with Light + SD Card + USB Supported Multi Color,285,-72%,78,https://img.drz.lazcdn.com/static/pk/p/780b8194002c76c31f56c35712862cfe.jpg_400x400q80.jpg_.webp
Live like a king Printed T-shirt And Shorts Summer Track Suit For Men -Black,799,-53%,82,https://img.drz.lazcdn.com/static/pk/p/a2ac5d62a0ff248e71dd5f1a90035043.jpg_400x400q80.jpg_.webp
"4 Pieces Gardening Tool Set with Trowel, Trans planter, Cultivator and Weedier,  Gardening Tools",699,-46%,94,https://img.drz.lazcdn.com/static/pk/p/db68d0eace1e7e5d73b0cdb20ea97eff.jpg_400x400q80.jpg_.webp
Ultimate Metal Polishing Cream Knife Machine Polishing Wax Mirror Stainless Steel Ceramic Watch Polishing Paste Rust Remover,753,-50%,No rating,https://img.drz.lazcdn.com/g/kf/S158fb6943fb24182bce4bc3b2c595f12b.png_400x400q80.png_.webp
Insulated Food Storage Lunch box Bag to Keep Food Hot or Cold For Office - Large Size Picnic Thermal Bag / Insulated Reusable Lunch Bag for Women and Men with Adjustable Shoulder Strap,399,-71%,84,https://img.drz.lazcdn.com/static/pk/p/6c9aebcd8014913f7754fc23d28dad38.jpg_400x400q80.jpg_.webp
"Mini Crocodile Print Clutch Wallet, Short Credit Card Holder, Women's Card Case & Coin Purse",908,-50%,96,https://img.drz.lazcdn.com/g/kf/S3f264f49363043c99f88a8920a164c52t.jpg_400x400q80.jpg_.webp
EVENTO 3D Wooden Wall Hanging | 3d Laser Cut Wooden Wall Decoration items for Home Decor and Living Room | Decorative Wooden Wall Art for Home Decoration Items | Room Decoration Items for Wall Decoration Items for offices and Bedrooms and for Gift Ietms,99,-80%,88,https://img.drz.lazcdn.com/static/pk/p/34d9458ba41dd04076e8200f10a3b1e6.png_400x400q80.png_.webp
EARBUDS AIR 31 AIRPODS WIRELESS EARBUDS WITH CRYSTAL TRANSPARENT CASE WITH TYPE C CHARGING|EARBUDS BLUETOOTH 5.3 | NEW MODEL AIR 31,799,-47%,88,https://img.drz.lazcdn.com/static/pk/p/255ea7b4aad9170b031ff81a935b5c90.jpg_400x400q80.jpg_.webp
"Pack of 10 Fruit Plant Extract Moisturizing Brighten Facial Sheet MaskS Hydrating, Radiance Boost, Calming, Skin Care Sheet Masks",653,-46%,94,https://img.drz.lazcdn.com/static/pk/p/bdbdf02d791e32e7dc4f3d114364cd0b.png_400x400q80.png_.webp
"Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - (FREE LAPTOP BAG)","9,499",No discount,86,https://img.drz.lazcdn.com/static/pk/p/3a417f0b9a23ddad2b2f315dcb2eb311.jpg_400x400q80.jpg_.webp
