Product Name,Price (PKR),Price (USD),Product Link,Image URL
SamsungGalaxy Z Fold 6,"Rs. 604,999",5804,/Samsung_Galaxy-Z-Fold-6,admin/images/Samsung/SamsungGalaxyZFold6-s.jpg
SamsungGalaxy Z Flip 6,"Rs. 384,999",3694,/Samsung_Galaxy-Z-Flip-6,admin/images/Samsung/SamsungGalaxyZFlip6-s.jpg
InfinixZero 40,"Rs. 69,999",672,/Infinix_Zero-40,admin/images/Infinix/InfinixZero40-s.jpg
VivoY28,"Rs. 49,999",480,/Vivo_Y28,admin/images/Vivo/VivoY28-s.jpg
OppoA3x,"Rs. 34,999",336,/Oppo_A3x,admin/images/Oppo/OppoA3x-s.jpg
RealmeC61,"Rs. 32,999",317,/Realme_C61,admin/images/Realme/RealmeC61-s.jpg
ZTEnubia Neo 2,"Rs. 54,999",528,/ZTE_nubia-Neo-2,admin/images/ZTE/ZTEnubiaNeo2-s.jpg
TecnoPhantom V2 Flip,"Rs. 299,999",2878,/Tecno_Phantom-V2-Flip,admin/images/Tecno/TecnoPhantomV2Flip-s.jpg
TecnoPhantom V Fold 2,"Rs. 369,999",3550,/Tecno_Phantom-V-Fold-2,admin/images/Tecno/TecnoPhantomVFold2-s.jpg
OppoReno 12,"Rs. 159,999",1535,/Oppo_Reno-12,admin/images/Oppo/OppoReno12-s.jpg
OppoReno 12F 5G,"Rs. 99,999",959,/Oppo_Reno-12F-5G,admin/images/Oppo/OppoReno12F5G-s.jpg
OppoReno 12F,"Rs. 69,999",672,/Oppo_Reno-12F,admin/images/Oppo/OppoReno12F-s.jpg
RealmeC63 8GB,"Rs. 44,999",432,/Realme_C63-8GB,admin/images/Realme/RealmeC638GB-s.jpg
XiaomiRedmi 13,"Rs. 42,999",413,/Xiaomi_Redmi-13,admin/images/Xiaomi/XiaomiRedmi13-s.jpg
RealmeC65,"Rs. 49,999",480,/Realme_C65,admin/images/Realme/RealmeC65-s.jpg
itelS23 Plus,"Rs. 44,999",432,/itel_S23-Plus,admin/images/itel/itelS23Plus-s.jpg
DcodeBold 3 Pro,"Rs. 42,999",413,/Dcode_Bold-3-Pro,admin/images/Dcode/DcodeBold3Pro-s.jpg
RealmeC67,"Rs. 44,999",432,/Realme_C67,admin/images/Realme/RealmeC67-s.jpg
ZTEnubia V60,"Rs. 30,999",USD 297,/ZTE_nubia-V60,admin/images/ZTE/ZTEnubiaV60-s.jpg
SparxUltra 8 Pro,"Rs. 39,599",USD 380,/Sparx_Ultra-8-Pro,admin/images/Sparx/SparxUltra8Pro-s.jpg
VivoY18,"Rs. 38,499",USD 369,/Vivo_Y18,admin/images/Vivo/VivoY18-s.jpg
RealmeC63,"Rs. 39,999",USD 384,/Realme_C63,admin/images/Realme/RealmeC63-s.jpg
VivoY03 128GB,"Rs. 30,999",USD 297,/Vivo_Y03-128GB,admin/images/Vivo/VivoY03128GB-s.jpg
itelS24 256GB,"Rs. 37,499",USD 360,/itel_S24-256GB,admin/images/itel/itelS24256GB-s.jpg
DcodeCygnal 4 Lite,"Rs. 23,999",230,/Dcode_Cygnal-4-Lite,admin/images/Dcode/DcodeCygnal4Lite-s.jpg
SparxNeo 8 Plus,"Rs. 22,999",221,/Sparx_Neo-8-Plus,admin/images/Sparx/SparxNeo8Plus-s.jpg
itelA50 8GB,"Rs. 21,999",211,/itel_A50-8GB,admin/images/itel/itelA508GB-s.jpg
RealmeNote 50 128GB,"Rs. 27,499",264,/Realme_Note-50-128GB,admin/images/Realme/RealmeNote50128GB-s.jpg
ZTEBlade A55,"Rs. 20,999",201,/ZTE_Blade-A55,admin/images/ZTE/ZTEBladeA55-s.jpg
VivoY03t,"Rs. 27,999",269,/Vivo_Y03t,admin/images/Vivo/VivoY03t-s.jpg
SparxNeo 5 Pro,"Rs. 18,499",177,/Sparx_Neo-5-Pro,admin/images/Sparx/SparxNeo5Pro-s.jpg
itelA50,"Rs. 19,999",192,/itel_A50,admin/images/itel/itelA50-s.jpg
InfinixSmart 7 HD,"Rs. 18,999",182,/Infinix_Smart-7-HD,admin/images/Infinix/InfinixSmart7HD-s.jpg
SparxNeo 6 Plus,"Rs. 19,499",187,/Sparx_Neo-6-Plus,admin/images/Sparx/SparxNeo6Plus-s.jpg
ZTEBlade A54,"Rs. 19,999",192,/ZTE_Blade-A54,admin/images/ZTE/ZTEBladeA54-s.jpg
QmobileQsmart Blaze,"Rs. 18,999",182,/Qmobile_Qsmart-Blaze,admin/images/Qmobile/QmobileQsmartBlaze-s.jpg
Nokia105 Classic,"Rs. 3,999",38,/Nokia_105-Classic,admin/images/Nokia/Nokia105Classic-s.jpg
itelSuper Guru 600,"Rs. 4,499",43,/itel_Super-Guru-600,admin/images/itel/itelSuperGuru600-s.jpg
itelit2165,"Rs. 2,199",21,/itel_it2165,admin/images/itel/itelit2165-s.jpg
Nokia130 2023,"Rs. 6,599",63,/Nokia_130-2023,admin/images/Nokia/Nokia1302023-s.jpg
Nokia106 2023,"Rs. 4,799",46,/Nokia_106-2023,admin/images/Nokia/Nokia1062023-s.jpg
Nokia110 2023,"Rs. 5,799",56,/Nokia_110-2023,admin/images/Nokia/Nokia1102023-s.jpg
RealmeNote 60,"Expected PriceRs. 59,999",6716,/Realme_Note-60,admin/images/Realme/RealmeNote60-s.jpg
RealmeGT 6,"Expected PriceRs. 124,999",6716,/Realme_GT-6,admin/images/Realme/RealmeGT6-s.jpg
VivoV40,"Expected PriceRs. 144,999",6716,/Vivo_V40,admin/images/Vivo/VivoV40-s.jpg
VivoV40 SE,"Expected PriceRs. 104,999",6716,/Vivo_V40-SE,admin/images/Vivo/VivoV40SE-s.jpg
itelP40 Plus,"Expected PriceRs. 27,999",6716,/itel_P40-Plus,admin/images/itel/itelP40Plus-s.jpg
